None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:185(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:252(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:266(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:282(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _canny.py:13(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:57(cubehelix)
        1    0.000    0.000    0.000    0.000 _cm.py:6(<module>)
        3    0.000    0.000    0.000    0.000 _cm.py:96(get_color_function)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1000(exponpow_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1045(fatiguelife_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:109(norm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1099(foldcauchy_gen)
        1    0.001    0.001    0.001    0.001 _continuous_distns.py:1129(f_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1209(foldnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1262(frechet_r_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1304(frechet_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1348(genlogistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1390(genpareto_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1440(genexpon_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1476(genextreme_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1599(gamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1732(erlang_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1791(gengamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1834(genhalflogistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1875(gompertz_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1908(gumbel_r_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:193(alpha_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1954(gumbel_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1997(halfcauchy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2033(halflogistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2077(halfnorm_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2119(hypsecant_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2150(gausshyper_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2183(invgamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2235(invgauss_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:226(anglit_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2276(invweibull_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2318(johnsonsb_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2353(johnsonsu_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2390(laplace_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2424(levy_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2461(levy_l_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2500(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2547(logistic_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2587(loggamma_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:259(arcsine_gen)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2627(loglaplace_gen)
